A03b	B05	C7b	CAG29	GpCAG133	D05	D101	Gmm8	GpB20b	GpC10	Pgp28		
GAN_14_252	2	128	209	121	160	191	109	173	122	115	161	109
GAN_14_252	2	132	211	142	160	200	109	173	130	115	167	111
GAN_14_262	2	128	209	121	157	-9	109	173	122	109	-9	109
GAN_14_262	2	132	209	133	157	-9	109	173	126	127	-9	109
GAN_14_263	2	130	207	121	160	200	106	158	122	115	161	109
GAN_14_263	2	142	211	121	160	203	112	173	126	123	167	123
GAN_14_264	2	116	207	121	157	191	106	164	126	125	164	111
GAN_14_264	2	122	209	133	157	203	112	173	126	129	167	111
GAN_14_272	2	116	209	133	157	191	109	173	126	147	164	111
GAN_14_272	2	130	211	133	157	191	109	173	126	151	167	133
GAN_14_279	2	116	207	121	157	191	106	167	126	115	158	109
GAN_14_279	2	158	209	121	163	203	106	167	126	115	167	111
GAN_14_281	2	130	209	121	157	194	106	167	122	109	158	123
GAN_14_281	2	130	211	121	160	200	109	167	126	137	161	123
GAN_14_428	2	120	209	121	157	191	109	167	122	115	164	109
GAN_14_428	2	128	211	127	157	194	109	173	122	115	167	111
GAN_14_438	2	128	207	121	157	194	106	167	122	115	164	109
GAN_14_438	2	162	209	136	160	203	112	173	122	115	167	109
DUK_14_001	3	130	207	133	157	194	106	167	126	143	164	111
DUK_14_001	3	134	211	142	157	206	112	173	130	147	170	111
DUK_14_002	3	116	209	127	157	194	109	173	122	127	161	123
DUK_14_002	3	136	209	133	163	203	109	173	130	127	161	125
DUK_14_003	3	122	207	133	157	194	94	167	122	121	161	111
DUK_14_003	3	130	209	139	157	194	106	173	126	147	167	125
DUK_14_004	3	120	207	133	157	194	109	173	122	115	164	111
DUK_14_004	3	142	207	133	160	203	112	173	126	115	173	111
DUK_14_005	3	134	209	133	157	203	109	167	122	109	161	109
DUK_14_005	3	158	211	142	163	203	109	173	130	131	167	121
DUK_14_006	3	116	211	133	157	197	106	164	122	109	158	109
DUK_14_006	3	128	211	133	157	197	106	173	126	109	158	121
DUK_14_007	3	116	207	127	157	194	109	158	122	115	173	109
DUK_14_007	3	132	211	142	163	206	109	173	126	115	173	131
DUK_14_008	3	116	209	121	157	194	97	173	122	115	161	111
DUK_14_008	3	130	209	133	163	197	109	173	122	115	173	111
DUK_14_009	3	130	207	121	157	197	106	158	126	115	161	109
DUK_14_009	3	130	209	127	157	203	106	173	126	115	173	109
DUK_14_010	3	116	209	121	160	194	109	173	122	115	161	109
DUK_14_010	3	144	211	133	163	197	112	173	122	131	173	121
DUK_14_011	3	120	211	133	157	194	106	173	130	115	158	109
DUK_14_011	3	128	211	142	157	194	112	173	130	127	161	123
DUK_14_012	3	116	209	136	157	194	109	164	130	109	161	111
DUK_14_012	3	134	211	142	163	203	109	173	130	109	167	125
DUK_14_013	3	130	207	-9	157	194	109	167	130	115	164	109
DUK_14_013	3	130	211	-9	160	203	109	173	130	115	164	109
DUK_14_014	3	116	209	133	157	194	109	173	122	115	158	123
DUK_14_014	3	128	211	133	157	197	109	173	126	115	161	123
DUK_14_015	3	122	209	121	157	197	109	173	130	115	158	109
DUK_14_015	3	130	211	133	157	206	109	173	130	115	158	129
DUK_14_016	3	122	207	133	157	194	106	167	122	141	167	111
DUK_14_016	3	134	211	142	157	197	106	167	122	147	167	133
DUK_14_047	3	130	207	121	157	203	109	167	122	115	167	111
DUK_14_047	3	130	209	133	157	206	112	173	122	115	167	111
DUK_14_048	3	116	209	121	157	194	106	167	126	115	161	125
DUK_14_048	3	128	211	139	157	203	112	167	130	115	167	125
DUK_14_049	3	130	207	133	157	197	109	164	122	115	158	123
DUK_14_049	3	130	211	133	160	206	112	173	126	115	167	123
DUK_14_387	3	130	209	121	157	197	109	167	126	117	158	111
DUK_14_387	3	130	211	133	157	203	112	173	126	117	167	123
DUK_14_388	3	130	211	121	160	194	109	173	122	109	158	129
DUK_14_388	3	130	211	127	160	206	109	173	122	109	158	129
DUK_14_389	3	130	209	127	157	194	109	173	122	125	161	111
DUK_14_389	3	130	211	133	160	197	109	173	130	125	161	111
DUK_14_390	3	128	209	121	160	194	109	173	130	131	161	111
DUK_14_390	3	132	209	133	160	203	109	173	130	131	173	121
DUK_14_391	3	130	209	127	157	194	106	173	122	117	161	117
DUK_14_391	3	130	209	133	157	197	106	173	130	127	173	129
DUK_14_411	3	116	209	133	157	203	106	158	126	109	158	109
DUK_14_411	3	130	211	142	157	206	106	173	130	129	158	111
OM1_2008	4	116	209	133	157	191	106	173	122	115	161	115
OM1_2008	4	130	211	139	163	203	109	173	126	115	167	123
OM10_2008	4	120	207	121	157	191	106	158	126	115	158	123
OM10_2008	4	130	211	133	163	194	109	164	126	151	164	123
OM11_2008	4	130	209	121	157	191	97	167	126	115	158	109
OM11_2008	4	130	211	121	163	194	109	173	130	137	167	109
OM14_2008	4	130	209	136	157	197	106	164	122	115	158	111
OM14_2008	4	142	209	142	157	200	106	167	126	127	167	121
OM16_2008	4	130	209	133	157	194	106	164	122	109	161	111
OM16_2008	4	142	211	133	157	200	109	167	130	109	167	133
OM2_2008	4	116	211	133	157	191	106	167	126	115	158	111
OM2_2008	4	116	211	133	157	191	109	173	130	127	164	111
OM21_2008	4	132	211	127	157	200	106	164	126	109	158	111
OM21_2008	4	132	211	133	157	203	106	173	126	115	173	123
OM22_2008	4	130	207	133	163	191	106	173	122	115	167	111
OM22_2008	4	132	209	142	163	191	109	173	126	141	173	129
OM3_2008	4	130	209	133	157	203	106	167	122	115	164	123
OM3_2008	4	134	209	142	157	203	109	173	130	147	164	123
OM4_2008	4	130	209	136	157	191	106	164	122	115	173	111
OM4_2008	4	134	209	142	163	191	109	173	130	151	173	131
OM5_2008	4	130	207	127	157	194	106	173	122	127	161	111
OM5_2008	4	146	211	130	157	194	109	173	126	129	164	121
OM6_2008	4	120	211	121	157	191	103	173	122	115	161	109
OM6_2008	4	130	211	133	163	191	103	173	126	151	164	123
OM7_2008	4	122	211	130	157	191	106	158	122	143	161	111
OM7_2008	4	132	211	133	157	203	109	164	126	143	161	123
OM8_2008	4	122	209	133	157	191	106	158	122	109	164	123
OM8_2008	4	130	211	133	163	194	109	173	126	127	167	123
OM9_2008	4	130	207	133	157	194	106	167	126	125	158	109
OM9_2008	4	136	209	136	163	203	109	173	130	127	158	125
BLA_15_001	5	130	207	127	157	191	106	173	122	115	164	125
BLA_15_001	5	130	209	133	163	194	106	173	130	115	167	125
BLA_15_002	5	130	209	127	157	194	109	149	130	115	158	109
BLA_15_002	5	144	211	133	157	203	109	173	130	145	170	111
BLA_15_003	5	130	207	121	157	191	109	173	126	115	161	125
BLA_15_003	5	130	209	145	163	194	109	173	126	127	161	125
BLA_15_004	5	120	211	121	157	191	106	149	126	127	158	111
BLA_15_004	5	136	211	133	157	203	133	173	126	137	158	119
BLA_15_005	5	116	209	121	157	191	109	173	130	115	161	129
BLA_15_005	5	130	211	133	160	200	109	173	130	127	161	129
BLA_15_006	5	130	209	121	157	191	109	173	126	115	161	109
BLA_15_006	5	130	211	133	157	191	109	173	126	127	164	109
BLA_15_007	5	122	209	127	157	191	109	173	126	135	158	133
BLA_15_007	5	130	211	133	160	203	109	173	130	143	164	133
BLA_15_008	5	116	209	127	157	194	109	173	130	115	158	123
BLA_15_008	5	130	211	127	160	200	109	176	130	127	161	123
BLA_15_009	5	128	211	133	157	191	109	173	126	115	158	111
BLA_15_009	5	142	211	139	160	191	109	173	126	115	161	111
BLA_15_010	5	116	207	133	157	191	106	173	126	117	161	111
BLA_15_010	5	130	211	142	160	194	106	173	130	127	167	129
LEA_14_071	6	120	209	121	157	191	109	167	126	125	161	123
LEA_14_071	6	130	211	133	157	194	109	173	130	125	161	125
LEA_14_072	6	122	209	133	157	191	109	149	130	115	158	123
LEA_14_072	6	142	211	142	157	194	109	173	130	143	161	123
LEA_14_073	6	130	209	133	157	191	109	173	130	117	167	123
LEA_14_073	6	130	211	142	157	194	109	173	130	137	167	123
LEA_14_074	6	116	211	121	157	191	109	167	130	115	161	111
LEA_14_074	6	116	211	133	160	194	109	173	130	147	161	125
LEA_14_075	6	130	209	121	157	191	106	167	130	123	161	119
LEA_14_075	6	130	209	142	157	203	109	173	130	141	164	119
LEA_14_076	6	126	209	121	157	191	109	167	130	127	164	111
LEA_14_076	6	142	209	133	157	203	109	173	132	141	164	129
LEA_14_134	6	126	209	121	157	191	109	173	126	109	161	119
LEA_14_134	6	142	211	127	163	203	109	173	126	145	167	119
LEA_14_144	6	130	209	133	157	191	109	158	122	115	161	115
LEA_14_144	6	130	211	133	157	194	109	173	130	135	164	123
OSG_14_085	7	130	207	121	157	200	97	173	126	139	155	123
OSG_14_085	7	130	211	133	163	203	121	173	130	147	158	123
OSG_14_087	7	116	207	133	160	194	106	167	126	139	161	121
OSG_14_087	7	130	211	142	160	203	121	173	130	147	164	123
OSG_14_089	7	130	205	133	157	191	97	167	130	115	161	123
OSG_14_089	7	130	205	142	160	194	109	173	130	115	164	123
OSG_14_095	7	130	211	121	157	194	106	167	130	109	161	123
OSG_14_095	7	152	211	121	157	203	109	173	130	125	164	123
OSG_14_096	7	120	209	142	157	191	106	167	122	115	161	111
OSG_14_096	7	144	209	142	157	203	109	173	122	115	167	123
OSG_14_097	7	122	209	133	157	194	106	173	130	125	164	123
OSG_14_097	7	132	211	133	160	200	109	173	130	125	164	125
OSG_14_098	7	122	209	121	157	200	106	167	126	145	164	111
OSG_14_098	7	130	209	133	160	203	106	173	130	149	164	111
OSG_14_101	7	120	207	133	157	194	109	173	126	115	161	109
OSG_14_101	7	130	207	142	157	203	109	173	130	115	173	109
OSG_14_102	7	130	207	133	157	191	97	167	126	129	164	109
OSG_14_102	7	130	209	145	163	203	109	167	130	129	164	109
OSG_14_103	7	132	209	133	157	191	106	173	126	115	164	109
OSG_14_103	7	142	209	133	163	203	121	173	130	115	173	109
OSG_14_104	7	130	211	133	157	203	103	173	130	137	164	111
OSG_14_104	7	144	211	142	163	203	106	173	130	139	164	125
OSG_14_106	7	130	207	133	157	194	106	167	126	137	158	109
OSG_14_106	7	130	209	142	163	203	106	167	126	149	173	131
OSG_14_108	7	122	211	133	157	200	97	167	126	147	155	111
OSG_14_108	7	132	211	133	157	200	109	173	130	147	164	111
OSG_14_112	7	132	209	142	163	200	103	167	126	-9	164	109
OSG_14_112	7	132	211	142	163	203	121	173	130	-9	164	109
OSG_14_158	7	130	209	133	157	191	103	167	126	109	158	109
OSG_14_158	7	130	211	142	157	203	106	173	126	109	164	109
OSG_14_161	7	132	209	139	157	200	106	167	126	121	155	111
OSG_14_161	7	132	211	142	157	203	121	167	126	129	164	123
OSG_14_163	7	142	209	133	157	194	103	167	126	125	158	109
OSG_14_163	7	142	209	142	157	194	109	173	130	147	161	125
OSG_14_165	7	130	207	142	157	188	106	173	126	145	161	109
OSG_14_165	7	130	209	142	157	203	109	173	126	147	167	109
OSG_14_167	7	130	211	121	157	191	103	167	130	139	152	109
OSG_14_167	7	142	211	133	157	203	106	173	130	139	164	111
OSG_14_175	7	132	209	121	157	191	97	173	126	125	158	119
OSG_14_175	7	144	209	133	157	194	106	173	130	127	164	119
MY1_2009	8	128	209	121	157	203	106	167	126	119	164	111
MY1_2009	8	142	211	133	160	203	109	173	130	127	164	111
MY10_2009	8	130	211	133	157	191	106	173	126	127	164	109
MY10_2009	8	142	211	133	160	203	109	173	132	141	164	109
MY11_2009	8	128	209	133	157	191	106	167	126	127	161	111
MY11_2009	8	128	211	133	160	200	109	173	126	141	173	111
MY14_2009	8	130	211	142	157	191	106	167	126	141	161	119
MY14_2009	8	142	211	142	157	191	109	173	130	143	167	123
MY16_2009	8	128	209	133	157	191	109	167	130	115	161	111
MY16_2009	8	144	209	133	160	200	109	173	130	139	167	123
MY19_2009	8	130	209	121	157	191	97	167	130	115	161	109
MY19_2009	8	142	209	133	163	191	109	173	130	115	161	123
MY20_2009	8	128	209	121	157	191	103	173	126	115	158	111
MY20_2009	8	142	211	142	157	200	109	173	126	137	164	111
MY3_2009	8	116	209	121	157	200	106	167	126	115	161	111
MY3_2009	8	130	209	142	160	203	109	173	126	115	161	111
MY4_2009	8	128	211	133	157	200	106	167	130	115	155	111
MY4_2009	8	142	211	142	157	203	106	173	130	145	164	111
MY5_2009	8	122	209	121	157	200	109	173	126	115	161	111
MY5_2009	8	130	211	133	157	203	109	173	130	149	161	111
MY57_2009	8	154	211	121	157	194	97	173	126	117	158	129
MY57_2009	8	156	211	133	163	200	106	173	130	127	167	129
MY6_2009	8	128	211	133	157	191	109	173	130	127	161	109
MY6_2009	8	128	211	133	157	203	109	173	130	147	167	125
MY63_2009	8	122	207	133	157	191	109	173	122	121	161	111
MY63_2009	8	130	209	142	160	203	109	173	126	151	164	111
MY7_2009	8	130	211	121	157	188	109	173	130	127	158	125
MY7_2009	8	130	211	124	157	191	109	173	130	135	161	125
MY8_2009	8	142	209	121	157	194	97	173	130	115	164	111
MY8_2009	8	142	211	136	157	200	106	173	130	145	164	111
ORB_14_001	9	130	207	121	157	197	109	167	126	115	161	127
ORB_14_001	9	130	209	142	157	203	109	167	126	115	164	127
ORB_14_002	9	130	211	133	157	194	109	167	126	115	161	109
ORB_14_002	9	132	211	142	157	194	109	173	130	125	164	119
ORB_14_003	9	120	209	121	160	194	97	173	122	131	161	111
ORB_14_003	9	128	209	133	163	203	106	173	130	131	164	125
ORB_14_004	9	128	209	121	157	197	109	173	130	115	161	109
ORB_14_004	9	128	211	133	157	197	109	173	130	117	164	121
ORB_14_005	9	120	209	133	157	194	109	173	126	115	164	111
ORB_14_005	9	128	209	133	157	194	112	173	126	127	167	125
ORB_14_006	9	130	209	133	157	194	109	173	126	115	158	121
ORB_14_006	9	130	209	139	157	194	112	173	130	115	161	129
ORB_14_007	9	126	211	121	157	194	109	167	122	115	158	127
ORB_14_007	9	132	211	127	157	206	109	173	122	123	161	129
ORB_14_008	9	116	209	121	157	194	109	173	130	115	158	111
ORB_14_008	9	130	209	133	163	194	109	173	130	117	158	129
ORB_14_009	9	120	211	121	157	194	109	173	130	147	161	109
ORB_14_009	9	130	211	127	157	203	109	173	130	149	161	125
ORB_14_010	9	128	209	121	157	194	109	173	126	139	161	111
ORB_14_010	9	142	211	142	157	203	109	173	130	143	164	111
ORB_14_011	9	126	211	121	157	194	100	167	122	125	161	123
ORB_14_011	9	130	211	121	160	194	106	173	126	125	161	123
ORB_14_012	9	116	209	133	157	194	109	167	130	115	164	125
ORB_14_012	9	144	211	145	160	206	109	173	130	137	164	125
ORB_14_013	9	128	209	121	160	197	106	173	122	115	164	123
ORB_14_013	9	142	211	133	163	203	106	173	122	115	167	129
ORB_14_014	9	128	211	121	160	194	106	167	130	115	161	111
ORB_14_014	9	142	211	133	163	206	106	173	130	115	167	111
ORB_14_015	9	126	209	121	157	194	106	173	122	115	158	127
ORB_14_015	9	130	211	133	157	206	106	173	130	115	167	129
ORB_14_019	9	130	209	121	157	194	109	173	130	141	164	111
ORB_14_019	9	130	209	133	160	194	109	173	130	147	164	111
ORB_14_021	9	126	211	133	160	194	109	173	122	109	161	125
ORB_14_021	9	128	211	133	160	197	109	173	126	117	164	125
ORB_14_022	9	126	209	121	157	203	109	167	122	123	161	129
ORB_14_022	9	128	209	145	157	206	109	173	122	125	167	129
ORB_14_023	9	128	211	133	160	194	109	167	122	-9	161	123
ORB_14_023	9	144	211	142	160	203	109	173	122	-9	164	125
ORB_14_024	9	130	209	133	157	194	109	173	126	109	158	111
ORB_14_024	9	142	209	145	157	197	109	173	130	115	167	111
PAG_15_001	10	126	209	121	157	191	109	173	122	141	164	109
PAG_15_001	10	130	211	142	160	203	109	173	126	149	173	123
PAG_15_002	10	132	209	121	157	191	97	167	130	115	161	111
PAG_15_002	10	132	211	142	157	191	109	167	130	141	164	129
PAG_15_004	10	130	207	121	148	191	97	173	122	115	158	129
PAG_15_004	10	130	211	133	157	203	103	173	126	143	164	129
PAG_15_007	10	120	207	133	157	191	97	167	122	147	161	123
PAG_15_007	10	142	207	133	157	203	97	173	130	147	161	123
PAG_15_022	10	116	211	121	157	203	106	167	122	109	161	109
PAG_15_022	10	120	211	133	160	203	106	167	126	141	167	121
PAG_15_030	10	130	211	121	157	194	106	173	130	147	161	109
PAG_15_030	10	130	211	121	163	194	106	173	130	149	164	109
PAG_15_032	10	130	211	133	157	194	106	167	122	125	161	123
PAG_15_032	10	130	211	133	157	194	106	173	122	149	161	123
PAG_15_038	10	130	207	121	157	200	106	167	126	137	161	109
PAG_15_038	10	130	209	121	160	203	106	167	130	137	164	111
PAG_15_169	10	128	207	121	157	200	109	173	130	117	161	109
PAG_15_169	10	142	209	133	163	203	109	173	130	137	161	123
PAG_15_170	10	130	209	133	157	200	97	167	126	139	161	109
PAG_15_170	10	130	209	142	157	203	109	173	130	147	167	109
PAG_15_171	10	130	211	121	157	194	106	167	130	115	161	109
PAG_15_171	10	130	211	133	163	203	106	173	130	147	164	129
PAG_15_172	10	130	209	133	163	203	106	173	126	141	161	109
PAG_15_172	10	130	209	133	163	203	106	173	126	149	161	109
PAG_15_174	10	130	207	118	157	194	109	173	126	115	161	109
PAG_15_174	10	142	211	118	157	203	109	173	130	149	164	111
PAG_15_175	10	130	209	121	157	191	97	173	126	115	158	109
PAG_15_175	10	138	211	136	157	200	109	173	130	115	161	111
PAG_15_200	10	130	209	136	157	194	109	173	126	129	161	109
PAG_15_200	10	130	211	142	163	203	109	173	130	143	164	111
PAG_15_261	10	120	207	121	157	194	97	173	122	113	164	109
PAG_15_261	10	142	211	124	157	203	97	173	130	147	167	109
PAG_15_262	10	130	207	133	157	191	109	173	126	147	158	111
PAG_15_262	10	130	211	142	157	203	109	173	130	147	158	123
PAG_15_263	10	130	209	121	157	191	103	167	126	143	161	125
PAG_15_263	10	130	211	121	157	203	106	173	130	147	164	129
PAG_15_279	10	130	209	121	157	191	106	173	122	115	164	121
PAG_15_279	10	130	209	133	157	203	109	173	126	141	164	121
PAG_15_280	10	130	211	124	157	191	97	167	126	137	161	123
PAG_15_280	10	130	211	133	157	194	109	173	130	149	161	123
OYA_15_014	11	122	207	121	157	194	106	158	122	127	158	123
OYA_15_014	11	158	207	133	157	203	112	173	130	129	173	125
OYA_15_016	11	130	209	133	157	191	109	164	122	109	161	109
OYA_15_016	11	130	209	133	163	200	109	173	130	115	167	109
OYA_15_017	11	120	209	121	157	191	103	164	126	145	158	109
OYA_15_017	11	130	211	142	157	203	109	173	130	147	164	109
OYA_15_018	11	130	207	121	157	191	109	164	126	115	161	109
OYA_15_018	11	130	209	133	157	203	109	173	126	143	161	109
OYA_15_023	11	130	207	133	157	191	109	167	126	115	164	109
OYA_15_023	11	142	211	142	157	197	109	167	130	153	167	129
OYA_15_027	11	130	209	121	157	191	103	173	122	137	161	109
OYA_15_027	11	130	209	142	157	194	109	173	126	149	164	111
OYA_15_028	11	130	209	121	157	191	109	167	130	115	167	109
OYA_15_028	11	134	209	142	157	191	109	173	130	115	173	125
OYA_15_219	11	122	209	121	157	191	97	173	122	121	158	111
OYA_15_219	11	130	211	121	157	200	109	173	130	153	161	111
OYA_15_260	11	142	209	121	157	191	106	173	122	115	161	109
OYA_15_260	11	142	209	142	163	194	106	173	130	115	164	123
OLO_14_003	12	130	209	121	157	191	103	173	126	115	164	109
OLO_14_003	12	142	211	133	157	200	109	173	130	149	164	111
OLO_14_005	12	130	209	121	157	194	97	173	126	115	161	111
OLO_14_005	12	130	211	121	157	203	103	173	126	115	167	123
OLO_14_006	12	130	209	121	157	188	103	167	122	125	161	111
OLO_14_006	12	130	211	142	163	200	106	173	130	125	161	121
OLO_14_007	12	130	211	121	157	191	97	167	126	115	158	111
OLO_14_007	12	130	211	121	157	203	103	173	130	115	164	121
OLO_14_008	12	130	209	133	157	194	97	173	122	115	164	109
OLO_14_008	12	130	211	133	157	194	109	173	130	115	167	123
OLO_14_016	12	130	207	121	157	194	103	167	126	149	161	109
OLO_14_016	12	142	211	121	157	194	106	173	126	149	167	111
OLO_14_023	12	130	211	121	157	191	103	173	126	115	161	111
OLO_14_023	12	130	211	142	157	200	106	173	130	147	167	111
OLO_14_025	12	130	209	121	157	191	106	173	126	137	158	111
OLO_14_025	12	130	211	133	157	203	106	173	130	149	164	125
OLO_14_030	12	130	209	121	157	194	109	167	126	115	161	109
OLO_14_030	12	130	209	133	163	203	109	173	126	115	164	125
OLO_14_031	12	130	211	121	157	194	97	173	126	115	161	121
OLO_14_031	12	142	211	166	157	203	106	173	130	145	161	125
OLO_14_033	12	120	207	121	157	188	-9	173	122	115	161	111
OLO_14_033	12	130	207	142	163	194	-9	173	130	145	161	111
OLO_14_038	12	130	207	121	157	191	106	167	122	147	161	109
OLO_14_038	12	130	211	121	157	200	109	173	126	149	164	111
OLO_14_040	12	-9	209	133	157	200	97	167	126	117	164	109
OLO_14_040	12	-9	211	133	157	203	103	173	130	147	164	111
OLO_14_043	12	130	211	121	163	194	97	173	122	113	161	109
OLO_14_043	12	130	211	121	163	194	109	173	130	141	173	109
OLO_14_044	12	130	209	121	157	191	109	167	126	147	167	109
OLO_14_044	12	130	211	127	160	197	109	167	126	153	167	111
OLO_14_051	12	142	207	121	163	194	97	173	126	115	161	109
OLO_14_051	12	142	211	142	163	197	106	173	126	153	161	111
OLO_14_053	12	126	209	121	157	200	97	173	126	141	167	111
OLO_14_053	12	130	211	121	157	203	103	173	130	147	173	111
OLO_14_058	12	126	207	121	157	194	109	167	122	113	164	111
OLO_14_058	12	130	211	142	157	194	109	173	130	141	173	125
OLO_14_059	12	130	211	121	157	191	100	173	124	113	161	109
OLO_14_059	12	142	211	142	157	194	100	173	128	137	164	125
OLO_14_064	12	130	209	121	157	194	97	167	122	115	161	109
OLO_14_064	12	130	211	121	157	194	109	173	130	115	161	111
OLO_14_065	12	130	211	121	157	191	103	167	122	115	161	109
OLO_14_065	12	130	211	121	157	194	106	173	126	141	161	125
OLO_14_074	12	130	209	121	157	194	109	167	130	113	164	109
OLO_14_074	12	130	211	142	157	194	109	173	130	115	164	125
OLO_14_075	12	126	209	121	157	194	97	173	122	141	164	111
OLO_14_075	12	130	211	136	157	194	106	173	130	149	167	111
OLO_14_081	12	130	209	133	157	194	97	167	122	115	161	111
OLO_14_081	12	130	211	133	160	194	106	173	126	141	164	123
GOR_14_001	13	130	209	121	157	194	106	167	122	137	158	109
GOR_14_001	13	130	211	133	157	200	106	173	130	149	164	123
GOR_14_002	13	130	211	121	157	191	109	167	126	115	158	109
GOR_14_002	13	130	211	139	157	203	109	173	130	143	161	109
GOR_14_003	13	130	211	121	148	191	109	173	126	115	164	109
GOR_14_003	13	130	211	133	157	203	109	173	130	149	167	119
GOR_14_011	13	130	207	133	148	191	106	167	128	115	158	109
GOR_14_011	13	142	207	133	157	194	106	173	130	115	161	109
GOR_14_012	13	130	211	121	157	191	106	173	130	139	158	125
GOR_14_012	13	130	211	121	157	194	109	173	130	147	167	125
GOR_14_014	13	130	207	121	157	203	109	167	130	115	167	109
GOR_14_014	13	142	209	133	157	203	109	173	130	115	173	125
GOR_14_015	13	130	211	121	157	194	103	173	126	115	161	111
GOR_14_015	13	142	211	127	157	194	109	173	130	149	164	125
GOR_14_017	13	130	211	121	157	191	103	167	126	115	158	109
GOR_14_017	13	130	211	133	163	191	109	173	130	149	161	111
GOR_14_021	13	130	209	121	157	194	109	167	130	119	158	109
GOR_14_021	13	142	209	133	157	200	109	173	130	125	161	111
GOR_14_022	13	130	211	118	157	191	106	173	128	127	161	123
GOR_14_022	13	130	211	121	163	191	106	173	130	129	161	125
GOR_14_023	13	120	207	121	157	194	106	167	130	115	161	123
GOR_14_023	13	130	211	133	157	200	106	173	130	153	164	129
GOR_14_024	13	130	211	121	157	194	109	173	122	115	158	121
GOR_14_024	13	130	211	124	163	194	109	173	130	143	164	121
GOR_14_025	13	130	211	133	157	194	109	167	126	115	161	111
